Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09
Operating Revenue,87.44B,69.98B,63.40B,59.70B,72.38B,56.58B,52.89B,51.04B,60.45B,43.74B,37.96B,35.71B,43.74B,32.71B,30.40B,29.13B,35.75B,25.36B,23.18B,22.72B,29.33B,20.58B,19.34B,19.74B,25.59B,17.09B,15.70B,16.07B,21.27B,13.81B,12.83B,13.18B,17.43B,10.88B,9.913B,9.857B,12.95B,7.56B,6.566B,7.131B,9.52B,5.449B,4.651B,4.889B,6.703B,4.264B,4.063B,4.135B,5.672B,3.262B
Revenue,87.44B,69.98B,63.40B,59.70B,72.38B,56.58B,52.89B,51.04B,60.45B,43.74B,37.96B,35.71B,43.74B,32.71B,30.40B,29.13B,35.75B,25.36B,23.18B,22.72B,29.33B,20.58B,19.34B,19.74B,25.59B,17.09B,15.70B,16.07B,21.27B,13.81B,12.83B,13.18B,17.43B,10.88B,9.913B,9.857B,12.95B,7.56B,6.566B,7.131B,9.52B,5.449B,4.651B,4.889B,6.703B,4.264B,4.063B,4.135B,5.672B,3.262B
Cost of Goods Sold,66.17B,51.47B,45.61B,42.52B,54.81B,41.28B,38.56B,38.53B,47.47B,33.97B,28.61B,27.14B,34.68B,25.60B,23.06B,22.55B,28.89B,19.98B,18.04B,18.15B,24.10B,17.27B,15.78B,16.37B,21.72B,14.40B,13.05B,13.60B,18.40B,11.83B,10.84B,11.32B,18.41B,8.325B,7.525B,7.608B,13.22B,5.786B,4.957B,5.501B,7.543B,4.176B,3.518B,3.741B,5.355B,3.265B,3.096B,3.179B,4.502B,2.50B
Gross Profit,21.27B,18.51B,17.80B,17.18B,17.57B,15.30B,14.32B,12.52B,12.98B,9.775B,9.346B,8.577B,9.063B,7.119B,7.346B,6.575B,6.861B,5.373B,5.149B,4.563B,5.233B,3.309B,3.559B,3.369B,3.863B,2.692B,2.658B,2.473B,2.873B,1.977B,1.99B,1.863B,-976.00M,2.551B,2.388B,2.249B,-268.00M,1.774B,1.609B,1.63B,1.977B,1.273B,1.133B,1.148B,1.348B,999.00M,967.00M,956.00M,1.17B,762.00M
Sales and Marketing Expense,6.171B,4.752B,4.291B,3.664B,4.912B,3.303B,2.901B,2.699B,3.44B,2.479B,2.229B,1.92B,2.513B,1.738B,1.546B,1.436B,1.758B,1.264B,1.15B,1.083B,1.526B,993.00M,943.00M,870.00M,1.132B,694.00M,675.00M,632.00M,851.00M,540.00M,537.00M,480.00M,593.00M,370.00M,341.00M,327.00M,376.00M,241.00M,211.00M,201.00M,274.00M,149.00M,129.00M,128.00M,169.00M,108.00M,,,,
General and Administrative Expense,1.412B,1.348B,1.27B,1.173B,1.117B,1.041B,1.111B,1.067B,1.044B,960.00M,874.00M,795.00M,717.00M,639.00M,580.00M,497.00M,390.00M,463.00M,467.00M,427.00M,442.00M,406.00M,377.00M,327.00M,319.00M,278.00M,286.00M,246.00M,234.00M,230.00M,232.00M,200.00M,-2.733B,1.296B,1.107B,988.00M,-1.665B,797.00M,695.00M,643.00M,855.00M,549.00M,486.00M,765.00M,-135.00M,730.00M,,,,
SG&A Expense,7.583B,6.10B,5.561B,4.837B,6.029B,4.344B,4.012B,3.766B,4.484B,3.439B,3.103B,2.715B,3.23B,2.377B,2.126B,1.933B,2.148B,1.727B,1.617B,1.51B,1.968B,1.399B,1.32B,1.197B,1.451B,972.00M,961.00M,878.00M,1.085B,770.00M,769.00M,680.00M,-2.14B,1.666B,1.448B,1.315B,-1.289B,1.038B,906.00M,844.00M,1.129B,698.00M,615.00M,893.00M,34.00M,838.00M,537.00M,524.00M,668.00M,430.00M
Research and Development Expense,9.74B,9.20B,9.065B,7.927B,7.669B,7.162B,7.247B,6.759B,6.314B,5.944B,5.549B,4.813B,4.544B,4.135B,3.88B,3.526B,3.569B,3.197B,3.02B,2.754B,2.636B,2.423B,2.226B,1.991B,1.862B,1.734B,1.586B,1.383B,1.345B,1.192B,1.082B,945.00M,862.00M,769.00M,698.00M,579.00M,518.00M,442.00M,408.00M,366.00M,350.00M,315.00M,299.00M,,,,258.00M,234.00M,222.00M,209.00M
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
