Income (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11
Operating Revenue,38.26B,36.24B,46.45B,33.96B,34.63B,34.31B,43.41B,31.62B,32.28B,31.12B,41.36B,28.22B,29.13B,27.47B,35.73B,26.15B,27.57B,26.63B,34.99B,25.52B,26.87B,26.28B,34.76B,25.23B,25.76B,24.47B,31.77B,23.55B,24.34B,23.20B,31.52B,21.85B,22.51B,21.18B,27.59B,20.19B,20.45B,18.82B,23.59B,17.38B,18.36B,16.92B,21.89B,15.48B,16.49B,16.04B,21.59B,16.61B,16.96B,15.81B
Revenue,39.07B,37.04B,47.50B,34.74B,35.40B,35.07B,44.41B,32.36B,33.00B,31.81B,42.30B,28.86B,29.77B,28.10B,36.56B,26.77B,28.17B,27.22B,35.78B,26.10B,27.45B,26.87B,35.52B,25.79B,26.31B,25.02B,32.49B,24.08B,24.87B,23.72B,32.22B,22.32B,22.97B,21.63B,28.18B,20.62B,20.88B,19.24B,24.12B,17.78B,18.74B,17.30B,22.38B,15.81B,16.84B,16.40B,23.10B,16.61B,16.96B,15.81B
Cost of Goods Sold,34.06B,32.23B,41.31B,30.23B,30.72B,30.62B,38.67B,28.13B,28.73B,27.62B,36.70B,24.97B,25.93B,24.29B,31.65B,23.16B,24.47B,23.62B,31.10B,22.69B,23.90B,23.38B,31.04B,22.55B,23.04B,21.82B,28.42B,21.04B,21.77B,20.73B,28.21B,19.54B,20.14B,18.93B,24.68B,18.07B,18.24B,16.76B,21.02B,15.49B,16.40B,15.08B,19.51B,13.78B,14.77B,14.28B,20.30B,14.55B,14.83B,13.82B
Gross Profit,5.016B,4.807B,6.188B,4.507B,4.676B,4.446B,5.74B,4.23B,4.262B,4.192B,5.603B,3.89B,3.839B,3.811B,4.911B,3.607B,3.701B,3.599B,4.682B,3.414B,3.557B,3.481B,4.486B,3.24B,3.263B,3.193B,4.069B,3.045B,3.105B,2.989B,4.008B,2.781B,2.828B,2.697B,3.498B,2.556B,2.64B,2.482B,3.101B,2.286B,2.346B,2.218B,2.866B,2.03B,2.072B,2.119B,2.802B,2.066B,2.127B,1.986B
SG&A Expense,3.743B,3.732B,4.684B,3.371B,3.464B,3.475B,4.263B,3.155B,3.234B,3.224B,4.123B,2.907B,2.98B,2.94B,3.696B,2.731B,2.835B,2.806B,3.499B,2.579B,2.671B,2.696B,3.38B,2.487B,2.531B,2.501B,3.098B,2.313B,2.361B,2.332B,3.044B,2.152B,2.178B,2.144B,2.721B,1.991B,2.038B,1.941B,2.409B,1.789B,1.873B,1.777B,2.254B,1.655B,1.666B,1.677B,2.147B,1.591B,1.625B,1.591B
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00M,2.865M,
Operating Interest Expense,34.00M,38.00M,45.00M,35.00M,34.00M,36.00M,48.00M,37.00M,37.00M,37.00M,53.00M,21.00M,31.00M,29.00M,39.00M,30.00M,31.00M,33.00M,40.00M,31.00M,27.00M,26.00M,35.00M,25.00M,26.00M,27.00M,36.00M,25.00M,25.00M,13.00M,22.00M,19.00M,27.00M,27.00M,36.00M,27.00M,27.00M,26.00M,34.00M,27.00M,26.00M,24.00M,33.00M,25.00M,25.00M,25.00M,32.00M,25.00M,,
Operating Interest Income,30.00M,32.00M,45.00M,27.00M,33.00M,21.00M,30.00M,16.00M,16.00M,13.00M,19.00M,12.00M,11.00M,8.00M,15.00M,10.00M,7.00M,9.00M,12.00M,10.00M,15.00M,13.00M,17.00M,11.00M,12.00M,12.00M,15.00M,9.00M,10.00M,10.00M,16.00M,11.00M,11.00M,11.00M,15.00M,10.00M,9.00M,7.00M,8.00M,4.00M,4.00M,7.00M,10.00M,3.00M,8.00M,6.00M,25.00M,19.00M,,
Net Operating Interest Income,-4.00M,-6.00M,0,-8.00M,-1.00M,-15.00M,-18.00M,-21.00M,-21.00M,-24.00M,-34.00M,-9.00M,-20.00M,-21.00M,-24.00M,-20.00M,-24.00M,-24.00M,-28.00M,-21.00M,-12.00M,-13.00M,-18.00M,-14.00M,-14.00M,-15.00M,-21.00M,-16.00M,-15.00M,-3.00M,-6.00M,-8.00M,-16.00M,-16.00M,-21.00M,-17.00M,-18.00M,-19.00M,-26.00M,-23.00M,-22.00M,-17.00M,-23.00M,-22.00M,-17.00M,-19.00M,-7.00M,-6.00M,,
Other Operating Expenses,7.00M,14.00M,41.00M,14.00M,9.00M,22.00M,31.00M,8.00M,12.00M,17.00M,30.00M,15.00M,15.00M,22.00M,24.00M,18.00M,10.00M,26.00M,27.00M,14.00M,9.00M,15.00M,15.00M,16.00M,8.00M,24.00M,17.00M,10.00M,6.00M,18.00M,15.00M,6.00M,6.00M,10.00M,15.00M,9.00M,6.00M,16.00M,4.00M,6.00M,3.00M,13.00M,14.00M,16.00M,8.00M,20.00M,,,-2.865M,
