Income (Quarterly),2020-01,2019-10,2019-07,2019-04,2019-01,2018-10,2018-07,2018-04,2018-01,2017-10,2017-07,2017-04,2017-01,2016-10,2016-07,2016-04,2016-01,2015-10,2015-07,2015-04,2015-01,2014-10,2014-07,2014-04,2014-01,2013-10,2013-07,2013-04,2013-01,2012-10,2012-07,2012-04,2012-01,2011-10,2011-07,2011-04,2011-01,2010-10,2010-07,2010-04,2010-01,2009-10,2009-07,2009-04,2009-01,2008-10,2008-07,2008-04,2008-01,2007-10
Operating Revenue,23.13B,18.41B,18.18B,17.40B,22.73B,17.59B,17.55B,16.56B,22.73B,16.65B,16.41B,16.00B,20.61B,16.44B,16.17B,16.20B,21.63B,17.61B,17.43B,17.12B,21.75B,17.25B,16.96B,16.66B,20.20B,17.26B,17.12B,16.71B,22.73B,16.93B,16.78B,16.87B,21.29B,16.40B,16.24B,15.94B,20.66B,15.60B,15.53B,15.59B,20.18B,15.28B,15.07B,14.83B,19.56B,15.11B,15.47B,14.80B,19.87B,14.84B
Revenue,23.40B,18.66B,18.42B,17.63B,22.98B,17.82B,17.78B,16.78B,22.98B,16.87B,16.63B,16.22B,21.47B,16.44B,16.17B,16.20B,21.63B,17.61B,17.43B,17.12B,21.75B,17.25B,16.96B,16.66B,20.20B,17.26B,17.12B,16.71B,22.73B,16.93B,16.78B,16.87B,21.29B,16.40B,16.24B,15.94B,20.66B,15.60B,15.53B,15.59B,20.18B,15.28B,15.07B,14.83B,19.56B,15.11B,15.47B,14.80B,19.87B,14.84B
Cost of Goods Sold,17.06B,12.94B,12.62B,12.25B,16.90B,12.54B,12.24B,11.62B,16.80B,11.71B,11.42B,11.20B,15.19B,11.54B,11.17B,11.18B,15.84B,12.44B,12.05B,11.91B,15.56B,12.17B,11.80B,11.75B,14.60B,12.13B,11.74B,11.56B,16.30B,11.68B,11.40B,11.66B,15.15B,11.27B,10.96B,10.93B,14.62B,10.76B,10.51B,10.69B,14.35B,10.61B,10.30B,10.32B,15.43B,10.13B,10.30B,9.898B,13.76B,9.993B
Gross Profit,6.343B,5.73B,5.797B,5.379B,6.078B,5.286B,5.537B,5.156B,6.188B,5.162B,5.215B,5.024B,6.278B,4.905B,4.997B,5.011B,5.787B,5.173B,5.376B,5.208B,6.188B,5.083B,5.159B,4.909B,5.60B,5.125B,5.372B,5.143B,6.43B,5.254B,5.374B,5.206B,6.139B,5.128B,5.282B,5.009B,6.036B,4.845B,5.025B,4.901B,5.831B,4.666B,4.765B,4.513B,4.126B,4.984B,5.168B,4.904B,6.109B,4.842B
SG&A Expense,4.505B,4.153B,3.912B,3.663B,4.376B,3.937B,3.865B,3.545B,4.454B,3.733B,3.601B,3.353B,4.476B,3.339B,3.249B,3.153B,3.92B,3.736B,3.495B,3.514B,4.057B,3.644B,3.599B,3.376B,3.325B,3.853B,3.698B,3.59B,3.957B,3.704B,3.588B,3.392B,3.876B,3.525B,3.473B,3.233B,3.72B,3.345B,3.263B,3.143B,3.673B,3.255B,3.136B,3.015B,2.495B,3.648B,3.50B,3.311B,3.829B,3.455B
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.00M,,
Operating Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.00M,183.00M,,195.00M,186.00M,188.00M,216.00M,191.00M,195.00M,203.00M,,,,,,
Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00M,1.00M,1.00M,0,0,1.00M,1.00M,,,,,,
Net Operating Interest Income,-118.00M,-113.00M,-120.00M,-126.00M,-109.00M,-115.00M,-115.00M,-121.00M,-132.00M,-251.00M,-131.00M,-140.00M,-127.00M,-142.00M,-307.00M,-415.00M,-152.00M,-151.00M,-148.00M,-155.00M,-152.00M,-146.00M,-433.00M,-152.00M,-84.00M,-165.00M,-171.00M,-629.00M,-126.00M,-192.00M,-184.00M,-184.00M,-292.00M,-200.00M,-191.00M,-183.00M,-190.00M,-194.00M,-185.00M,-187.00M,-216.00M,-191.00M,-194.00M,-202.00M,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
