"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","317.92","321.50","321.50","314.08","3.69M","-1.13%"
"Apr 16, 2020","321.56","314.45","322.63","312.04","3.94M","3.64%"
"Apr 15, 2020","310.27","312.04","313.70","307.00","2.94M","-1.23%"
"Apr 14, 2020","314.14","302.36","314.74","302.36","4.29M","4.85%"
"Apr 13, 2020","299.62","298.51","303.86","297.69","3.12M","-0.13%"
"Apr 09, 2020","300.01","299.65","304.35","297.59","6.49M","-1.95%"
"Apr 08, 2020","305.97","305.94","307.35","302.37","3.96M","0.77%"
"Apr 07, 2020","303.63","306.50","310.00","303.29","4.04M","-0.49%"
"Apr 06, 2020","305.12","293.00","305.47","289.70","5.27M","5.71%"
"Apr 03, 2020","288.65","289.64","292.23","285.87","2.65M","-0.97%"
"Apr 02, 2020","291.48","285.05","292.73","282.89","3.50M","1.64%"
"Apr 01, 2020","286.78","282.94","288.80","280.93","3.75M","0.58%"
"Mar 31, 2020","285.13","288.61","291.49","284.09","5.62M","-2.06%"
"Mar 30, 2020","291.12","287.49","291.68","285.84","4.40M","2.39%"
"Mar 27, 2020","284.33","286.70","293.25","283.37","4.25M","-2.73%"
"Mar 26, 2020","292.30","281.22","293.41","281.22","5.47M","4.07%"
"Mar 25, 2020","280.86","283.75","290.60","279.22","5.64M","-1.43%"
"Mar 24, 2020","284.94","294.80","296.98","283.08","7.12M","-0.21%"
"Mar 23, 2020","285.53","292.01","295.67","278.42","5.65M","-1.68%"
"Mar 20, 2020","290.42","307.92","308.01","287.02","6.58M","-4.85%"
"Mar 19, 2020","305.22","310.86","313.34","302.75","5.43M","-0.74%"
"Mar 18, 2020","307.50","297.54","318.00","296.15","6.70M","0.17%"
"Mar 17, 2020","306.99","289.00","307.19","286.30","7.17M","8.41%"
"Mar 16, 2020","283.18","281.83","299.53","279.51","5.47M","-6.32%"
"Mar 13, 2020","302.27","288.83","303.25","278.27","6.10M","8.01%"
"Mar 12, 2020","279.85","280.44","295.62","276.34","7.31M","-5.91%"
"Mar 11, 2020","297.43","300.86","307.79","294.19","3.63M","-3.87%"
"Mar 10, 2020","309.40","307.97","309.73","294.42","4.25M","2.46%"
"Mar 09, 2020","301.98","295.85","310.33","293.00","5.20M","-3.01%"
"Mar 06, 2020","311.34","312.14","317.49","302.75","6.19M","-1.40%"
"Mar 05, 2020","315.76","315.77","324.51","313.20","6.41M","-1.55%"
"Mar 04, 2020","320.74","308.29","320.97","305.02","4.22M","5.95%"
"Mar 03, 2020","302.73","309.14","314.17","301.03","5.13M","-2.07%"
"Mar 02, 2020","309.14","294.44","309.51","291.38","7.56M","9.96%"
"Feb 28, 2020","281.14","285.25","287.33","271.28","7.10M","-4.09%"
