"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","31.93","31.82","32.13","30.89","15.77M","-0.06%"
"Apr 16, 2020","31.95","32.16","32.63","31.84","14.50M","-0.25%"
"Apr 15, 2020","32.03","32.40","32.40","31.07","16.20M","-0.19%"
"Apr 14, 2020","32.09","32.02","32.35","31.58","13.33M","2.43%"
"Apr 13, 2020","31.33","31.21","32.20","31.05","13.51M","0.87%"
"Apr 09, 2020","31.06","30.77","31.29","30.01","17.33M","0.13%"
"Apr 08, 2020","31.02","31.85","31.94","30.73","18.72M","-2.64%"
"Apr 07, 2020","31.86","31.57","32.22","30.58","16.98M","-2.36%"
"Apr 06, 2020","32.63","31.81","32.76","31.29","15.55M","1.05%"
"Apr 03, 2020","32.29","31.70","32.84","31.70","14.54M","2.18%"
"Apr 02, 2020","31.60","30.20","31.97","29.85","18.95M","3.61%"
"Apr 01, 2020","30.50","30.30","31.78","29.85","17.16M","1.26%"
"Mar 31, 2020","30.12","29.55","30.25","29.10","17.23M","1.59%"
"Mar 30, 2020","29.65","30.00","30.36","29.12","12.97M","1.79%"
"Mar 27, 2020","29.13","29.32","29.87","28.55","14.99M","0.45%"
"Mar 26, 2020","29.00","28.01","29.18","27.37","18.25M","3.79%"
"Mar 25, 2020","27.94","29.99","30.15","27.85","20.52M","-7.33%"
"Mar 24, 2020","30.15","31.50","31.50","29.42","13.70M","-2.99%"
"Mar 23, 2020","31.08","31.78","32.72","30.77","13.20M","-2.17%"
"Mar 20, 2020","31.77","34.25","34.25","31.03","21.98M","-7.05%"
"Mar 19, 2020","34.18","35.74","36.48","33.42","16.70M","0.80%"
"Mar 18, 2020","33.91","33.77","36.81","32.55","25.78M","2.76%"
"Mar 17, 2020","33.00","31.81","34.94","30.91","25.17M","6.11%"
"Mar 16, 2020","31.10","29.33","33.21","29.00","24.77M","1.27%"
"Mar 13, 2020","30.71","30.54","30.98","28.25","16.52M","5.46%"
"Mar 12, 2020","29.12","28.60","30.38","28.37","15.29M","-4.81%"
"Mar 11, 2020","30.59","31.81","32.26","30.07","12.94M","-6.17%"
"Mar 10, 2020","32.60","31.30","32.75","31.18","16.51M","4.32%"
"Mar 09, 2020","31.25","30.68","31.70","30.00","13.15M","-2.47%"
"Mar 06, 2020","32.04","32.72","32.99","31.51","14.61M","-4.27%"
"Mar 05, 2020","33.47","30.65","33.70","30.43","25.21M","8.11%"
"Mar 04, 2020","30.96","29.68","30.97","29.65","9.60M","5.52%"
"Mar 03, 2020","29.34","29.52","30.42","28.97","10.57M","-1.15%"
"Mar 02, 2020","29.68","28.44","29.69","28.28","11.95M","5.51%"
"Feb 28, 2020","28.13","28.00","28.18","27.06","13.51M","-0.81%"
"Feb 27, 2020","28.36","28.55","29.30","28.33","8.38M","-1.36%"
