,company,Revenue,yoy_growth,reporting_quarter,actual_quarter
54,Amazon,4.264,0.30717351318209696,2008Q3,2008Q2
4,Walmart,98.34,0.07054212932723725,2008Q4,2008Q3
204,Kroger,17.62,0.09169764560099125,2008Q4,2008Q3
154,Target,15.11,0.01819407008086249,2008Q4,2008Q3
104,Costco,16.4,0.037318153067678494,2008Q4,2008Q3
55,Amazon,6.703,0.18177009873060657,2008Q4,2008Q3
56,Amazon,4.889,0.18234582829504253,2009Q1,2008Q4
5,Walmart,108.63,0.025875908962130545,2009Q1,2008Q4
205,Kroger,17.3,-0.0023068050749711633,2009Q1,2008Q4
105,Costco,16.84,-0.007075471698113289,2009Q1,2008Q4
155,Target,19.56,-0.015601409159537116,2009Q1,2008Q4
206,Kroger,22.79,-0.015125324114088179,2009Q2,2009Q1
57,Amazon,4.651,0.1447206497661826,2009Q2,2009Q1
6,Walmart,94.24,-0.007373077733305311,2009Q2,2009Q1
106,Costco,15.81,-0.0481637567730282,2009Q2,2009Q1
156,Target,14.83,0.002027027027027062,2009Q2,2009Q1
207,Kroger,17.73,-0.01990049751243783,2009Q3,2009Q2
58,Amazon,5.449,0.27790806754221387,2009Q3,2009Q2
107,Costco,22.38,-0.03116883116883129,2009Q3,2009Q2
157,Target,15.07,-0.025856496444731758,2009Q3,2009Q2
7,Walmart,100.88,-0.014266171584913168,2009Q3,2009Q2
158,Target,15.28,0.011250827266710672,2009Q4,2009Q3
8,Walmart,99.37,0.010473866178564162,2009Q4,2009Q3
108,Costco,17.3,0.054878048780487854,2009Q4,2009Q3
208,Kroger,17.66,0.002270147559591429,2009Q4,2009Q3
59,Amazon,9.52,0.420259585260331,2009Q4,2009Q3
159,Target,20.18,0.0316973415132924,2010Q1,2009Q4
209,Kroger,18.43,0.0653179190751445,2010Q1,2009Q4
9,Walmart,113.62,0.0459357451900948,2010Q1,2009Q4
109,Costco,18.74,0.1128266033254155,2010Q1,2009Q4
60,Amazon,7.131,0.45858048680711794,2010Q1,2009Q4
210,Kroger,24.74,0.08556384379113635,2010Q2,2010Q1
