1,2,3,4,5,6,7,8,9,10,11,12,company,Revenue,yoy_growth,pci,Q2,Q3,Q4,actual_quarter,quarter,Price,sp_index_change
0.027777778,0.083333333,0.305555556,0,0.027777778,0.194444444,0.111111111,0.083333333,0.166666667,0,0,0,Walmart,99.81,0.059104414,0.401415054,0,0,0,2010Q1,2010Q1,0.02526277,0.032162685
0,0.076923077,0.256410256,0.051282051,0.051282051,0.179487179,0.025641026,0.102564103,0.179487179,0.025641026,0.051282051,0,Walmart,103.73,0.028251388,0.475072152,1,0,0,2010Q2,2010Q2,-0.133717787,-0.125108225
0.023809524,0.095238095,0.285714286,0.095238095,0.023809524,0.166666667,0,0.119047619,0.142857143,0.023809524,0,0.023809524,Walmart,101.95,0.02596357,0.093250498,0,1,0,2010Q3,2010Q3,0.107157633,0.110797473
0,0.051282051,0.333333333,0.153846154,0,0.230769231,0,0.076923077,0.128205128,0,0.025641026,0,Walmart,116.36,0.024115473,0.294916321,0,0,1,2010Q4,2010Q4,0.010682159,0.097187326
0,0.071428571,0.30952381,0.047619048,0,0.261904762,0.023809524,0.119047619,0.119047619,0,0.023809524,0.023809524,Walmart,104.19,0.043883378,1.264822375,0,0,0,2011Q1,2011Q1,-0.046004399,0.04242572
0,0.066666667,0.333333333,0.088888889,0,0.2,0,0.088888889,0.133333333,0.022222222,0.066666667,0,Walmart,109.37,0.054371927,1.743310892,1,0,0,2011Q2,2011Q2,0.01937464,-0.008833617
0.039215686,0.039215686,0.235294118,0.058823529,0.019607843,0.215686275,0.039215686,0.058823529,0.117647059,0.019607843,0.098039216,0.058823529,Walmart,110.23,0.081216282,0.408517984,0,1,0,2011Q3,2011Q3,-0.030087834,-0.15544873
0,0.097560976,0.341463415,0.12195122,0.024390244,0.195121951,0.024390244,0.073170732,0.073170732,0.024390244,0.024390244,0,Walmart,122.73,0.054743898,-0.15205577,0,0,1,2011Q4,2011Q4,0.150115473,0.144073579
0,0.109090909,0.290909091,0.072727273,0,0.2,0.018181818,0.127272727,0.145454545,0.018181818,0.018181818,0,Walmart,113.01,0.084653038,0.795638656,0,0,0,2012Q1,2012Q1,0.014420686,0.102900412
0,0.088235294,0.323529412,0.088235294,0,0.205882353,0,0.088235294,0.117647059,0,0.058823529,0.029411765,Walmart,114.28,0.044893481,0.827531738,1,0,0,2012Q2,2012Q2,0.136245111,-0.040083437
0.018518519,0.074074074,0.314814815,0.074074074,0.018518519,0.166666667,0,0.111111111,0.148148148,0,0.074074074,0,Walmart,113.8,0.032386828,0.219328148,0,1,0,2012Q3,2012Q3,0.064167267,0.055041706
0,0.084507042,0.323943662,0.154929577,0.014084507,0.154929577,0.042253521,0.098591549,0.070422535,0,0.042253521,0.014084507,Walmart,127.78,0.041147234,0.03604047,0,0,1,2012Q4,2012Q4,-0.078595544,-0.012668831
0.051948052,0.064935065,0.220779221,0.103896104,0.025974026,0.181818182,0.012987013,0.064935065,0.116883117,0.064935065,0.038961039,0.051948052,Walmart,114.07,0.009379701,0.590329876,0,0,0,2013Q1,2013Q1,0.08073368,0.073009122
0.043478261,0.057971014,0.304347826,0.028985507,0.057971014,0.173913043,0,0.086956522,0.101449275,0.014492754,0.115942029,0.014492754,Walmart,116.83,0.022313616,0.540980612,1,0,0,2013Q2,2013Q2,-0.012461885,0.028236364
0.03,0.06,0.27,0.06,0.04,0.16,0.03,0.1,0.08,0.05,0.08,0.04,Walmart,115.69,0.016608084,0.377979341,0,1,0,2013Q3,2013Q3,-0.008446172,0.041233219
0.03960396,0.059405941,0.237623762,0.128712871,0.059405941,0.089108911,0.069306931,0.079207921,0.04950495,0.108910891,0.069306931,0.00990099,Walmart,129.71,0.015104085,-0.279067646,0,0,1,2013Q4,2013Q4,0.069302894,0.090477876
0.099173554,0.049586777,0.198347107,0.041322314,0.05785124,0.107438017,0.008264463,0.107438017,0.132231405,0.082644628,0.05785124,0.05785124,Walmart,114.96,0.007802227,0.76122253,0,0,0,2014Q1,2014Q1,-0.031428209,0.022030808
0.045977011,0.068965517,0.24137931,0.08045977,0.103448276,0.08045977,0.034482759,0.103448276,0.057471264,0.091954023,0.068965517,0.022988506,Walmart,120.12,0.028160575,1.180867814,1,0,0,2014Q2,2014Q2,-0.022144067,0.039623022
0.012195122,0.06097561,0.304878049,0.097560976,0.097560976,0.073170732,0.06097561,0.048780488,0.06097561,0.085365854,0.073170732,0.024390244,Walmart,119,0.028610943,0.114675844,0,1,0,2014Q3,2014Q3,0.015807651,-0.000521963
0.04494382,0.08988764,0.202247191,0.123595506,0.056179775,0.06741573,0.011235955,0.078651685,0.056179775,0.078651685,0.08988764,0.101123596,Walmart,131.56,0.014262586,-0.803351757,0,0,1,2014Q4,2014Q4,0.128218602,0.057929461
0,0.090909091,0.340909091,0.090909091,0.068181818,0.113636364,0.022727273,0.136363636,0.113636364,0,0,0.022727273,Walmart,114.83,-0.001130828,-0.543199002,0,0,0,2015Q1,2015Q1,-0.042491269,0.004707997
0,0.09375,0.34375,0.09375,0.0625,0.0625,0,0.1875,0.15625,0,0,0,Walmart,120.23,0.000915751,1.205595644,1,0,0,2015Q2,2015Q2,-0.121174576,0.001660444
0,0.051282051,0.333333333,0.076923077,0.102564103,0.102564103,0.051282051,0.102564103,0.153846154,0,0,0.025641026,Walmart,117.41,-0.013361345,0.262677374,0,1,0,2015Q3,2015Q3,-0.097941013,-0.075762244
0.057692308,0.048076923,0.125,0.028846154,0.067307692,0.038461538,0.105769231,0.163461538,0.096153846,0.115384615,0.096153846,0.057692308,Walmart,129.67,-0.014366069,-0.449843688,0,0,1,2015Q4,2015Q4,-0.046211296,0.062438274
0.015873016,0.063492063,0.158730159,0.063492063,0.103174603,0.015873016,0.087301587,0.158730159,0.103174603,0.103174603,0.087301587,0.03968254,Walmart,115.9,0.009318122,0.064634066,0,0,0,2016Q1,2016Q1,0.114383339,0.023391929
0,0.09009009,0.207207207,0.036036036,0.081081081,0.036036036,0.072072072,0.153153153,0.081081081,0.162162162,0.018018018,0.063063063,Walmart,120.85,0.005156783,1.172350557,1,0,0,2016Q2,2016Q2,0.057341442,0.012582136
0,0.038461538,0.384615385,0,0.076923077,0.115384615,0,0.115384615,0.153846154,0.038461538,0.038461538,0.038461538,Walmart,118.18,0.006558215,0.332681941,0,1,0,2016Q3,2016Q3,-0.00947672,0.031061128
0.051094891,0.051094891,0.116788321,0.02919708,0.094890511,0.04379562,0.094890511,0.167883212,0.109489051,0.138686131,0.051094891,0.051094891,Walmart,130.94,0.009794093,0.222574197,0,0,1,2016Q4,2016Q4,-0.040133315,0.035919859
0.032967033,0.043956044,0.131868132,0.021978022,0.10989011,0.087912088,0.076923077,0.153846154,0.087912088,0.131868132,0.054945055,0.065934066,Walmart,117.54,0.014150129,0.790736963,0,0,0,2017Q1,2017Q1,0.049810661,0.046456111
0.045081967,0.053278689,0.114754098,0.040983607,0.114754098,0.053278689,0.151639344,0.151639344,0.049180328,0.147540984,0.028688525,0.049180328,Walmart,123.36,0.020769549,0.543517706,1,0,0,2017Q2,2017Q2,0.053598775,0.027373624
0.047619048,0.047619048,0.285714286,0.095238095,0.142857143,0.095238095,0,0.095238095,0.142857143,0.047619048,0,0,Walmart,123.18,0.042308343,0.396615691,0,1,0,2017Q3,2017Q3,0.036889597,0.037196224
0.037037037,0.037037037,0.12962963,0.024691358,0.098765432,0.043209877,0.12962963,0.166666667,0.092592593,0.135802469,0.049382716,0.055555556,Walmart,136.27,0.040705667,0.370629636,0,0,1,2017Q4,2017Q4,0.258763544,0.057130543
0.086206897,0.011494253,0.063218391,0.045977011,0.109195402,0.063218391,0.103448276,0.137931034,0.08045977,0.166666667,0.074712644,0.057471264,Walmart,122.69,0.043814872,0.88611838,0,0,0,2018Q1,2018Q1,-0.097575819,-0.020379775
0.059405941,0.03960396,0.123762376,0.01980198,0.074257426,0.054455446,0.099009901,0.103960396,0.138613861,0.168316832,0.03960396,0.079207921,Walmart,128.03,0.03785668,1.033075567,1,0,0,2018Q2,2018Q2,0.001168907,0.052864579
0,0.041666667,0.333333333,0.083333333,0.041666667,0.166666667,0,0.125,0.208333333,0,0,0,Walmart,124.89,0.013882124,0.327267568,0,1,0,2018Q3,2018Q3,0.11797619,0.068679838
