year,company,tokens_final
2010,Costco,"['lake', 'drive', 'issaquah', 'washington', 'notice', 'corporation', 'company', 'hold', 'center', 'hall', 'street', 'washington', 'thursday', 'p.m.', 'purpose', 'elect', 'class', 'nominate', 'hold', 'office', 'successor', 'elect', 'ratify', 'selection', 'company', 'auditor', 'year', 'hold', 'executive', 'compensation', 'disclose', 'material', 'hold', 'executive', 'compensation', 'hold', 'year', 'transact', 'business', 'come', 'adjournment', 'record', 'close', 'business', 'november', 'entitle', 'request', 'person', 'find', 'reason', 'desire', 'revoke', 'time', 'notice', 'availability', 'material', 'notice', 'availability', 'internet', 'material', 'paper', 'material', 'availability', 'contain', 'instruction', 'access', 'material', 'internet', 'instruction', 'paper', 'copy', 'receive', 'availability', 'request', 'paper', 'copy', 'material', 'receive', 'paper', 'material', 'mail', 'process', 'reduce', 'cost', 'print', 'material', 'internet', 'telephone', 'confirm', 'tabulate', 'paper', 'copy', 'material', 'card', 'enclose', 'return', 'envelope', 'furnish', 'internet', 'telephone', 'help', 'company', 'reduce', 'postage', 'tabulation', 'cost']"
2010,Costco,"['please', 'return', 'enclose', 'paper', 'ballot', 'internet', 'telephone', 'telephone', 'http', 'tone', 'hour', 'day/', 'week', 'phone', 'hour', 'day/', 'week', 'transmit', 'voting', 'touch-tone', 'telephone', 'transmit', 'instruction', 'delivery', 'voting', 'instruction', 'p.m.', 'information', 'p.m.', 'time', 'time', 'january', 'have', 'january', 'have', 'card', 'card', 'hand', 'call', 'hand', 'access', 'website', 'follow', 'instruction', 'instruction', 'obtain', 'record', 'create', 'voting', 'instruction', 'form', 'cooperation', 'appreciate', 'majority', 'represent', 'person', 'constitute', 'quorum', 'conduct', 'business', 'order', 'joel', 'benoliel', 'secretary', 'december', 'notice', 'availability', 'material', 'hold', 'statement', 'report', 'p=irol-irhome']"
2010,Costco,"['facility', 'direction', 'meydenbauer', 'center', 'street', 'washington', 'driving', 'direction', 'limit', 'availability', 'encourage', 'take', 'south', 'transit', 'commuter', 'service', 'take', 'exit', 'west', 'street', 'transit', 'center', 'locate', 'turn', 'meydenbauer', 'center', 'turn', 'leave', 'street', 'meydenbauer', 'center', 'garage', 'meydenbauer', 'center', 'garage', 'locate', 'street', 'vehicle', 'tall', 'garage', 'fill', 'event', 'attendee', 'direct', 'plaza', 'garage', 'plaza', 'garage', 'handle', 'take', 'north', 'meydenbauer', 'center', 'locate', 'take', 'exit', 'west', 'street', 'street', 'ave.', 'proceed', 'hill', 'turn', 'avenue', 'center', 'turn', 'light', 'leave', 'turn', 'leave', 'street', 'meydenbauer', 'structure', 'center', 'garage', 'facility', 'event', 'tell', 'attendant', 'attend']"
2010,Costco,"['statement', 'hold', 'solicitation', 'revocation', 'form', 'furnish', 'company', 'hold', 'adjournment', 'individual', 'name', 'jeffrey', 'brotman', 'james', 'sinegal', 'internet', 'availability', 'material', 'send', 'notice', 'statement', 'form', 'make', 'december', 'represent', 'receive', 'accordance', 'instruction', 'contain', 'recommend', 'nominee', 'list', 'material', 'ratification', 'selection', 'company', 'auditor', 'approval', 'basis', 'compensation', 'company', 'name', 'executive', 'officer', 'disclose', 'material', 'frequency', 'year', 'compensation', 'absence', 'voting', 'instruction', 'represent', 'execute', 'accordance', 'foregoing', 'recommendation', 'power', 'revoke', 'time', 'write', 'secretary', 'company', 'person', 'record', 'close', 'business', 'november', 'record', 'date', 'entitle', 'business', 'record', 'date', 'security', 'company', 'entitle', 'cumulative', 'right', 'election', 'majority', 'entitle', 'person', 'constitute', 'quorum', 'abstain', 'proposal', 'include', 'number', 'purpose', 'presence', 'quorum', 'abstention', 'broker', 'non-votes', 'include', 'cast', 'outcome']"
2010,Costco,"['proposal', 'election', 'number', 'elect', 'company', 'bylaws', 'election', 'nominee', 'receives', 'number', 'offer', 'resignation', 'election', 'issue', 'determine', 'report', 'action', 'take', 'resignation', 'offer', 'respect', 'proposal', 'ratification', 'selection', 'company', 'auditor', 'cast', 'exceed', 'cast', 'approve', 'respect', 'proposal', 'executive', 'compensation', 'cast', 'exceed', 'cast', 'approve', 'respect', 'proposal', 'frequency', 'executive', 'compensation', 'number', 'year', 'year', 'year', 'frequency', 'approve', 'hold', 'broker', 'behalf', 'street', 'name', 'instruct', 'broker', 'proposal', 'broker', 'exercise', 'discretion', 'proposal', 'count', 'proposal', 'respect', 'proposal', 'broker', 'exercise', 'discretion', 'proposal', 'instruction', 'please', 'instruct', 'bank', 'broker', 'count', 'addition', 'mailing', 'internet', 'availability', 'material', 'company', 'bank', 'broker', 'copy', 'notice', 'availability', 'material', 'paper', 'copy', 'material', 'person', 'hold', 'company', 'request', 'authority', 'execution', 'proxies', 'company', 'bank', 'broker', 'expense', 'officer', 'employee', 'company', 'compensate', 'mail', 'telephone', 'contact', 'soliciting', 'expense', 'company', 'connection', 'solicitation', 'proposal', 'election', 'divide', 'class', 'elect', 'class', 'year', 'term', 'successor', 'class', 'term', 'expire', 'elect', 'term', 'susan', 'decker', 'richard', 'libenson', 'john', 'meisenbach', 'charles', 'member', 'class', 'serve', 'year', 'term', 'successor', 'elect', 'qualify', 'nominee', 'nominee', 'indicate', 'ability', 'serve', 'becomes', 'serve', 'election', 'person', 'designate', 'solicit', 'nominee', 'elect', 'plurality', 'cast', 'person', 'quorum', 'present']"
2010,Costco,"['candidate', 'election', 'nominate', 'base', 'recommendation', 'governance', 'addition', 'information', 'present', 'experience', 'qualification', 'attribute', 'skill', 'lead', 'conclude', 'serve', 'believe', 'demonstrate', 'career', 'relevant', 'experience', 'integrity', 'ability', 'make', 'inquiry', 'experience', 'business', 'environment', 'willingness', 'ability', 'devote', 'time', 'duties', 'believe', 'skill', 'experience', 'create', 'oversee', 'company', 'establish', 'leader', 'area', 'business', 'government', 'service', 'service', 'addition', 'member', 'diversity', 'experience', 'bring', 'variety', 'view', 'strengthen', 'ability', 'guide', 'company', 'recommend', 'proposal', 'information', 'election', 'term', 'office', 'continue', 'expiration', 'name', 'position', 'company', 'term', 'james', 'executive', 'officer', 'jeffrey', 'brotman', 'chairman', 'benjamin', 'carson', 'susan', 'decker', 'daniel', 'evans', 'richard', 'executive', 'vice', 'president', 'officer', 'william', 'gate', 'hamilton', 'james', 'jelinek', 'president', 'chief', 'officer', 'richard', 'john', 'meisenbach', 'charles', 'jeffrey', 'raikes', 'jill', 'information', 'respect', 'company', 'mean', 'corporation', 'include', 'predecessor', 'company', 'corporation', 'exist', 'merger', 'price', 'company', 'executive', 'officer', 'company', 'president', 'company', 'inception', 'qualification', 'serve', 'include', 'role', 'company', 'executive', 'officer', 'career', 'industry', 'knowledge', 'company', 'business', 'develop', 'course', 'career']"
2010,Costco,"['jeffrey', 'brotman', 'chairman', 'company', 'company', 'inception', 'qualification', 'serve', 'include', 'role', 'co-founder', 'company', 'chairman', 'knowledge', 'company', 'business', 'develop', 'course', 'service', 'company', 'benjamin', 'carson', 'company', 'professor', 'neurosurgery', 'john', 'hopkins', 'carson', 'serve', 'kellogg', 'company', 'carson', 'write', 'speaker', 'variety', 'topic', 'motivation', 'child', 'community', 'involvement', 'carson', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'role', 'nation', 'institution', 'decker', 'company', 'october', 'serve', 'business', 'school', 'school', 'year', 'president', 'yahoo', 'inc.', 'june', 'president', 'serve', 'head', 'yahoo', 'business', 'unit', 'advertiser', 'publisher', 'group', 'executive', 'vice', 'president', 'officer', 'june', 'june', 'berkshire', 'intel', 'corporation', 'legalzoom.com', 'pixar', 'decker', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'experience', 'leadership', 'position', 'area', 'finance', 'technology', 'marketing', 'daniel', 'evans', 'company', 'january', 'chairman', 'daniel', 'evans', 'associate', 'firm', 'serve', 'senator', 'state', 'president', 'state', 'college', 'serve', 'governor', 'state', 'washington', 'evans', 'serve', 'inc.', 'technology', 'group', 'evans', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'government', 'service', 'richard', 'galanti', 'company', 'executive', 'vice', 'president', 'officer', 'company', 'qualification', 'serve', 'include', 'knowledge', 'company', 'business', 'develop', 'course', 'career', 'area', 'finance', 'reporting', 'service', 'company', 'william', 'gate', 'company', 'january', 'bill', 'melinda', 'gate', 'foundation', 'inception', 'gate', 'serve', 'regent', 'university', 'washington', 'serve', 'officer', 'volunteer', 'dozen', 'organization', 'chamber', 'commerce', 'county', 'technology', 'alliance', 'gate', 'partner', 'firm', 'preston', 'gate', 'predecessor', 'firm', 'gate', 'qualification', 'serve', 'include', 'knowledge']"
2010,Costco,"['experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'experience', 'profession', 'country', 'foundation', 'position', 'hamilton', 'james', 'company', 'lead', 'president', 'officer', 'blackstone', 'group', 'asset', 'manager', 'provider', 'service', 'member', 'partner', 'blackstone', 'group', 'management', 'l.l.c', 'credit', 'suisse', 'boston', 'inc.', 'james', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'experience', 'service', 'industry', 'leadership', 'position', 'jelinek', 'president', 'chief', 'officer', 'company', 'vice', 'president', 'charge', 'merchandising', 'spend', 'year', 'management', 'position', 'warehouse', 'operation', 'qualification', 'serve', 'include', 'knowledge', 'company', 'business', 'develop', 'course', 'career', 'area', 'operation', 'richard', 'libenson', 'company', 'october', 'founder', 'price', 'company', 'formation', 'executive', 'officer', 'price', 'company', 'qualification', 'serve', 'include', 'role', 'consultant', 'company', 'knowledge', 'company', 'business', 'develop', 'course', 'career', 'price', 'company', 'john', 'meisenbach', 'company', 'inception', 'president', 'meisenbach', 'company', 'service', 'company', 'found', 'serve', 'expeditors', 'holding', 'trustee', 'fund', 'investment', 'company', 'register', 'investment', 'company', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'experience', 'insurance', 'industry', 'charles', 'munger', 'company', 'january', 'chairman', 'officer', 'wesco', 'corporation', 'engage', 'insurance', 'furniture', 'rental', 'steel', 'service', 'business', 'vice', 'chairman', 'berkshire', 'chairman', 'corporation', 'munger', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'experience', 'area', 'investment', 'finance', 'insurance', 'jeffrey', 'raikes', 'company', 'december', 'officer', 'bill', 'melinda', 'gate', 'foundation', 'september', 'raikes', 'hold', 'position', 'corporation', 'president', 'business', 'division', 'raikes', 'qualification', 'serve', 'include', 'experience', 'leadership', 'position', 'area', 'technology', 'country', 'foundation']"
2010,Costco,"['jill', 'ruckelshaus', 'company', 'ruckelshaus', 'serve', 'organization', 'corporation', 'qualification', 'serve', 'include', 'knowledge', 'experience', 'gain', 'contribution', 'make', 'tenure', 'company', 'service', 'company', 'experience', 'government', 'service', 'family', 'relationship', 'exist', 'executive', 'officer', 'arrangement', 'exists', 'officer', 'person', 'select', 'executive', 'officer', 'company', 'committees', 'determine', 'member', 'audit', 'compensation', 'governance', 'meet', 'select', 'market', 'listing', 'standard', 'independence', 'member', 'relationship', 'interfere', 'exercise', 'judgment', 'write', 'charter', 'view', 'phoenix.zhtml', 'deem', 'decker', 'ruckelshaus', 'messrs.', 'carson', 'evans', 'gate', 'james', 'munger', 'raikes', 'constitute', 'majority', 'company', 'session', 'preside', 'year', 'audit', 'function', 'audit', 'include', 'others', 'communication', 'company', 'auditor', 'design', 'maintenance', 'company', 'system', 'accounting', 'control', 'auditor', 'result', 'audit', 'reliability', 'integrity', 'information', 'system', 'establish', 'monitor', 'compliance', 'company', 'policy', 'procedure', 'regulation', 'relationship', 'company', 'auditor', 'ascertain', 'auditor', 'member', 'messrs.', 'chair', 'evans', 'decker', 'james', 'resign', 'april', 'point', 'decker', 'join', 'resign', 'governance', 'determine', 'audit', 'expert', 'define', 'rule', 'security', 'exchange', 'commission', 'audit', 'meet', 'time', 'report', 'audit', 'compensation', 'compensation', 'function', 'review', 'salary', 'bonuses', 'compensation', 'provide', 'executive', 'officer', 'company', 'oversee', 'administration', 'company', 'compensation', 'compensation', 'program', 'respect', 'compensation', 'officer', 'delegate', 'authority', 'subcommittee', 'member', 'member']"
2010,Costco,"['eligible', 'serve', 'addition', 'extent', 'permit', 'delegate', 'officer', 'company', 'personnel', 'authority', 'grant', 'option', 'award', 'employee', 'executive', 'officer', 'member', 'delegate', 'authority', 'messrs.', 'brotman', 'respect', 'award', 'executive', 'officer', 'discussion', 'analysis', 'description', 'role', 'member', 'messrs.', 'carson', 'chair', 'munger', 'ruckelshaus', 'meet', 'report', 'governance', 'function', 'governance', 'identify', 'individual', 'qualify', 'serve', 'member', 'company', 'select', 'nominee', 'evaluate', 'performance', 'develop', 'governance', 'guideline', 'provide', 'respect', 'governance', 'conduct', 'member', 'messrs.', 'evans', 'gate', 'chair', 'ruckelshaus', 'authorize', 'charter', 'engage', 'advisors', 'approve', 'nomination', 'candidate', 'reflect', 'proposal', 'meet', 'time', 'fiscal', 'member', 'election', 'vacancy', 'occur', 'candidate', 'membership', 'recommendation', 'consider', 'advice', 'recommendation', 'others', 'deem', 'appropriate', 'consider', 'recommendation', 'candidate', 'serve', 'accordance', 'bylaw', 'name', 'recommend', 'candidate', 'information', 'document', 'candidate', 'willingness', 'serve', 'elect', 'evidence', 'ownership', 'company', 'send', 'secretary', 'company', 'company', 'require', 'information', 'describe', 'governance', 'guideline', 'provide', 'nominee', 'select', 'basis', 'thing', 'knowledge', 'experience', 'skill', 'expertise', 'integrity', 'diversity', 'ability', 'make', 'inquiry', 'company', 'business', 'environment', 'context', 'assessment', 'perceive', 'need', 'time', 'nominee', 'devote', 'time', 'effort', 'responsibilities', 'governance', 'qualification', 'nominee', 'meet', 'order', 'recommend', 'believe', 'evaluate', 'base', 'merit', 'account', 'need', 'company', 'composition', 'respect', 'diversity', 'believe', 'company', 'benefit', 'diversity', 'viewpoint', 'background', 'experience', 'fourteen', 'woman', 'addition', 'discuss', 'bring', 'diversity', 'viewpoint', 'experience', 'establish', 'leader', 'area', 'business', 'government', 'service', 'service', 'believe', 'strengthen', 'ability', 'guide', 'company', 'governance', 'guideline', 'governance', 'oversee', 'performance', 'year', 'assessment', 'seek', 'identity', 'area', 'need', 'improvement', 'diversity', 'term', 'viewpoint', 'background', 'experience']"
2010,Costco,"['nomination', 'candidate', 'require', 'compliance', 'section', 'process', 'prescribe', 'nominee', 'governance', 'guideline', 'governance', 'guideline', 'adopt', 'governance', 'guideline', 'view', 'investor', 'relation', 'page', 'structure', 'governance', 'guideline', 'provide', 'require', 'separation', 'office', 'chairman', 'executive', 'officer', 'free', 'choose', 'chairman', 'deem', 'company', 'give', 'point', 'time', 'position', 'chairman', 'officer', 'fill', 'sinegal', 'believe', 'structure', 'origin', 'role', 'growth', 'success', 'company', 'operate', 'decade', 'addition', 'believe', 'obtains', 'leadership', 'role', 'fill', 'hamilton', 'role', 'risk', 'oversight', 'function', 'oversee', 'management', 'deal', 'risk', 'risk', 'business', 'seek', 'ensure', 'management', 'place', 'process', 'risk', 'company', 'management', 'develop', 'company', 'objective', 'identify', 'manage', 'mitigate', 'risk', 'objective', 'risk', 'vary', 'ability', 'company', 'anticipate', 'understand', 'risk', 'type', 'impact', 'occur', 'event', 'occur', 'likelihood', 'event', 'impact', 'occur', 'ability', 'company', 'control', 'risk', 'impact', 'risk', 'identify', 'others', 'risk', 'avoid', 'risk', 'matter', 'risk', 'impact', 'minor', 'matter', 'business', 'judgment', 'appropriate', 'allocate', 'resource', 'avoid', 'case', 'impact', 'expend', 'resource', 'seek', 'mitigate', 'impact', 'case', 'degree', 'risk', 'acceptable', 'perceive', 'reward', 'company', 'engage', 'variety', 'activity', 'align', 'risk-taking', 'company', 'objectives', 'project', 'process', 'enhance', 'company', 'business', 'interest', 'level', 'management', 'identifying', 'risk', 'risk', 'control', 'business', 'activity', 'company', 'objectives', 'program', 'determine', 'sufficiency', 'risk', 'identification', 'balance', 'potential', 'risk', 'reward', 'manner', 'control', 'risk', 'support', 'behavior', 'risk', 'company', 'strategy', 'implement', 'risk', 'oversight', 'responsibility', 'audit', 'receives', 'management', 'risk', 'company', 'face', 'company', 'control', 'risk', 'appropriate', 'audit', 'oversee', 'issue', 'relate', 'control', 'reporting', 'case', 'risk', 'business', 'concept', 'entry', 'market', 'risk', 'oversight', 'address', 'part', 'engagement', 'management', 'member', 'risk', 'part', 'review', 'business', 'activity', 'company']"
