year,company,tokens_final
2010,Kroger,"['section', 'statement', 'schedule', 'rule', 'information', 'require', 'statement', 'schedule', 'information', 'statement', 'section', 'security', 'exchange', 'amendment', 'file', 'registrant', 'file', 'party', 'registrant', 'check', 'appropriate', 'statement', 'material', 'rule', 'confidential', 'commission', 'permit', 'statement', 'material', 'name', 'specify', 'charter', 'name', 'person', 'statement', 'payment', 'check', 'require', 'compute', 'exchange', 'rule', 'title', 'class', 'security', 'transaction', 'apply', 'number', 'security', 'transaction', 'apply', 'unit', 'price', 'value', 'transaction', 'compute', 'exchange', 'rule', 'forth', 'amount', 'calculate', 'state', 'determine', 'propose', 'value', 'transaction', 'material', 'check', 'part', 'offset', 'provide', 'exchange', 'rule', 'registration', 'statement', 'number', 'form', 'schedule', 'date', 'filing', '____________________________________________________________________________________', 'amount', 'form', 'schedule', 'registration', 'statement', 'party', '____________________________________________________________________________________', 'date', 'file']"
2010,Kroger,"['kroger', 'team', 'deliver', 'result', 'position', 'advantage', 'marketplace', 'execute', 'customer', 'business', 'strategy', 'environment', 'history', 'kroger', 'know', 'customer', 'come', 'philosophy', 'drive', 'focus', 'program', 'help', 'loyal', 'customer', 'value', 'shop', 'store', 'approach', 'drive', 'increase', 'number', 'loyal', 'customer', 'serve', 'highlight', 'generate', 'sale', 'report', 'earnings', 'dilute', 'effect', 'cash', 'impairment', 'charge', 'take', 'quarter', 'asset', 'earnings', 'dilute', 'face', 'unemployment', 'deflation', 'economy', 'kroger', 'improve', 'performance', 'continue', 'focus', 'value', 'revenue', 'loyal', 'household', 'tonnage', 'growth', 'sale', 'store', 'keep', 'inviting', 'market', 'customer', 'associate', 'revenue', 'loyal', 'household', 'personalize', 'value', 'proposition', 'shopper', 'increase', 'number', 'household', 'kroger', 'earn', 'business', 'household', 'represent', 'customer', 'kroger', 'offering', 'include', 'customer', 'loyalty', 'offer', 'household', 'shopper', 'loyalty', 'data', 'convenient', 'experience', 'tonnage', 'growth', 'growth', 'sale', 'brand', 'brand', 'item', 'tonnage', 'growth', 'kroger', 'history', 'volume', 'growth', 'result', 'investment', 'service', 'product', 'offering', 'industry', 'category', 'associate', 'plant', 'warehouse', 'store', 'volume', 'growth']"
2010,Kroger,"['sale', 'kroger', 'grow', 'sale', 'objective', 'business', 'model', 'supermarket', 'sale', 'increase', 'fuel', 'compare', 'year', 'effort', 'associate', 'continue', 'kroger', 'sale', 'growth', 'trend', 'competitor', 'believe', 'trend', 'implication', 'associate', 'customer', 'continue', 'business', 'continue', 'store', 'keep', 'inviting', 'customer', 'store', 'continue', 'generate', 'return', 'continue', 'course', 'store', 'asset', 'keep', 'customer', 'project', 'enhance', 'shopping', 'experience', 'customer', 'improve', 'work', 'environment', 'associate', 'help', 'drive', 'sale', 'remodels', 'enable', 'technology', 'create', 'cost', 'saving', 'invest', 'strategy', 'kroger', 'market', 'market', 'part', 'kroger', 'strategy', 'kroger', 'market', 'increase', 'basis', 'point', 'data', 'kroger', 'market', 'increase', 'marketing', 'area', 'outline', 'report', 'decline', 'remain', 'return', 'dividend', 'program', 'repurchase', 'increase', 'dividend', 'year', 'company', 'reduce', 'dividend', 'increase', 'dividend', 'program', 'initiate', 'kroger', 'cash', 'dividend', 'kroger', 'dividend', 'enhances', 'return', 'basis', 'year', 'kroger', 'repurchase', 'price', 'investment', 'listen', 'customer', 'associate', 'quarter', 'track', 'customer', 'area', 'people', 'price', 'product', 'shopping', 'experience', 'store', 'feedback', 'help', 'offer', 'shopping', 'experience', 'include', 'store', 'quick', 'checkout', 'line', 'well-trained', 'associate', 'relevant', 'product', 'offer', 'value', 'customer', 'live', 'customer', 'tell', 'improve', 'customer', 'area', 'year', 'begin', 'customer', 'survey', 'balance', 'improvement', 'survey', 'provide', 'continue', 'feedback', 'customer', 'incorporate', 'tell', 'manage', 'business', 'conduct', 'survey', 'associate', 'continue', 'make', 'improvement', 'base', 'associate', 'tell', 'engagement', 'part', 'customer', 'strategy']"
2010,Kroger,"['commit', 'safety', 'safety', 'core', 'value', 'kroger', 'result', 'deeply', 'safety', 'program', 'reduce', 'rate', 'store', 'plant', 'year', 'continue', 'achieve', 'goal', 'accident', 'partner', 'customer', 'associate', 'community', 'serve', 'life', 'million', 'customer', 'family', 'store', 'consider', 'partner', 'customer', 'associate', 'improve', 'community', 'serve', 'focus', 'effort', 'hunger', 'relief', 'community', 'organization', 'school', 'woman', 'health', 'initiative', 'family', 'store', 'foundation', 'associate', 'customer', 'donate', 'support', 'organization', 'cause', 'year', 'kroger', 'recognize', 'associate', 'make', 'contribution', 'communities', 'winner', 'community', 'service', 'list', 'letter', 'proud', 'associate', 'accomplish', 'year', 'look', 'momentum', 'continue', 'make', 'progress', 'sustainability', 'agenda', 'focus', 'area', 'sustainability', 'energy', 'reduce', 'carbon', 'footprint', 'waste', 'plastic', 'waste', 'generate', 'store', 'effect', 'supply', 'chain', 'customer', 'associate', 'improve', 'community', 'take', 'step', 'protect', 'environment', 'program', 'reduce', 'energy', 'usage', 'store', 'plant', 'year', 'kroger', 'reduce', 'energy', 'consumption', 'year', 'instal', 'lead', 'motor', 'freezer', 'case', 'store', 'start', 'waste', 'reduction', 'goal', 'plastic', 'associate', 'achieve', 'goal', 'number', 'item', 'place', 'customer', 'time', 'customer', 'trip', 'potential', 'save', 'plastic', 'fleet', 'efficiency', 'improve', 'meaning', 'logistics', 'team', 'deliver', 'case', 'product', 'gallon', 'fuel', 'customer', 'interest', 'buying', 'product', 'increase', 'program', 'make', 'store', 'source', 'product', 'farmer', 'business', 'transportation']"
2010,Kroger,"['challenge', 'look', 'pace', 'recovery', 'continue', 'influence', 'kroger', 'business', 'unemployment', 'level', 'remain', 'consumer', 'confidence', 'spending', 'volatility', 'inflation', 'deflation', 'change', 'landscape', 'continue', 'business', 'year', 'increase', 'health', 'care', 'pension', 'cost', 'credit', 'card', 'affect', 'business', 'address', 'challenge', 'others', 'continue', 'grow', 'business', 'term', 'kroger', 'stand', 'others', 'industry', 'customer', 'strategy', 'associate', 'reality', 'customer', 'visit', 'store', 'believe', 'continue', 'position', 'deliver', 'value', 'economy', 'consumer', 'confidence', 'improve', 'behalf', 'kroger', 'team', 'thank', 'continue', 'support', 'david', 'dillon', 'chairman', 'executive', 'officer']"
2010,Kroger,"['congratulation', 'winners', 'kroger', 'community', 'service', 'award', 'division', 'recipient', 'atlanta', 'greg', 'chris', 'fight', 'council', 'city', 'market', 'linda', 'columbus', 'doug', 'jarrell', 'hick', 'dillon', 'store', 'monte', 'food', 'roach', 'fred', 'meyer', 'andrew', 'thompson', 'robert', 'laura', 'hamblen', 'store', 'william', 'soopers', 'daniel', 'michigan', 'bennett', 'ramsuer', 'betty', 'hughes', 'davidson', 'ralphs', 'frank', 'devera', 'smith', 'store', 'southwest', 'joann', 'jojo', 'garcia', 'specialty', 'food', 'laurie', 'layton', 'dairy', 'pace', 'dairy', 'food', 'indiana', 'annette', 'hitch', 'state', 'avenue', 'wendell', 'turkey', 'hill', 'dairy', 'protector', 'turkey', 'hill', 'minit', 'market', 'erin', 'smith', 'logistics', 'patti', 'murray']"
2010,Kroger,"['cincinnati', 'ohio', 'hold', 'energy', 'convention', 'center', 'junior', 'ballroom', 'floor', 'street', 'cincinnati', 'ohio', 'time', 'purpose', 'elect', 'year', 'consider', 'proposal', 'amendment', 'company', 'amend', 'article', 'incorporation', 'consider', 'proposal', 'ratify', 'selection', 'auditor', 'year', 'proposal', 'present', 'transact', 'business', 'bring', 'forth', 'statement', 'holder', 'record', 'business', 'april', 'entitle', 'person', 'attend', 'bring', 'portion', 'card', 'mail', 'admission', 'ticket', 'area', 'locate', 'proximity', 'duke', 'energy', 'convention', 'center', 'street', 'garage', 'connects', 'convention', 'center', 'skywalk', 'management', 'desire', 'have', 'number', 'represent', 'person', 'please', 'internet', 'telephone', 'have', 'elect', 'receive', 'material', 'sign', 'date', 'mail', 'envelope', 'provide', 'postage', 'require', 'mail', 'state', 'attend', 'listen', 'webcast', 'website', 'www.thekrogerco.com', 'time', 'order', 'paul', 'heldman', 'secretary']"
2010,Kroger,"['cincinnati', 'ohio', 'solicit', 'cost', 'solicitation', 'kroger', 'bank', 'broker', 'nominee', 'fiduciary', 'postage', 'expense', 'incur', 'material', 'principal', 'kroger', 'retain', 'inc.', 'wall', 'york', 'york', 'solicitation', 'estimate', 'exceed', 'solicit', 'telephone', 'mail', 'david', 'dillon', 'john', 'lamacchia', 'bobby', 'shackouls', 'kroger', 'name', 'member', 'executive', 'office', 'locate', 'street', 'cincinnati', 'telephone', 'number', 'statement', 'report', 'close', 'business', 'april', 'voting', 'security', 'consist', 'holder', 'entitle', 'represent', 'revoke', 'revocation', 'write', 'secretary', 'person', 'subsequent', 'cumulate', 'election', 'effect', 'broker', 'abstention', 'matter', 'present', 'follow', 'item', 'election', 'election', 'determine', 'plurality', 'broker', 'abstention', 'effect', 'proposal', 'item', 'amendment', 'amend', 'article', 'incorporation', 'majority', 'require', 'kroger', 'amend', 'article', 'incorporation', 'statement', 'broker', 'abstention', 'effect', 'proposal', 'item', 'selection', 'auditor', 'ratification', 'selection', 'auditor', 'require', 'majority', 'abstention', 'effect', 'proposal', 'item', 'proposal', 'majority', 'proposal', 'require', 'adoption', 'proposal', 'instruct', 'execute', 'abstention', 'broker', 'non-votes', 'effect', 'proposal']"
2010,Kroger,"['roposals', 'election', 'authorize', 'consists', 'member', 'member', 'elect', 'serve', 'successor', 'elect', 'pursuant', 'regulation', 'qualify', 'candidate', 'number', 'cast', 'holder', 'entitle', 'present', 'elect', 'number', 'choose', 'guideline', 'adopt', 'election', 'voting', 'effect', 'nominee', 'receive', 'number', 'election', 'election', 'tender', 'resignation', 'certification', 'governance', 'consider', 'resignation', 'offer', 'recommend', 'resignation', 'experience', 'qualification', 'attribute', 'skill', 'lead', 'governance', 'conclude', 'individual', 'serve', 'name', 'membership', 'state', 'effect', 'date', 'statement', 'intend', 'authority', 'withheld', 'election', 'person', 'name', 'occupation', 'ffice', 'reuben', 'partner', 'jackson', 'mississippi', 'office', 'phelps', 'dunbar', 'firm', 'base', 'orleans', 'prior', 'firm', 'justice', 'court', 'mississippi', 'inc.', 'year', 'inc.', 'bellsouth', 'corporation', 'resource', 'inc.', 'corporation', 'member', 'governance', 'responsibility', 'committees', 'litigation', 'experience', 'serve', 'justice', 'mississippi', 'court', 'knowledge', 'judgment', 'gain', 'year', 'practice', 'value', 'addition', 'chairman', 'trustees', 'tougaloo', 'college', 'resident', 'mississippi', 'bring', 'insight', 'community', 'region', 'unite', 'state', 'serve', 'policy', 'finance', 'executive', 'nominating']"
2010,Kroger,"['name', 'occupation', 'robert', 'chairman', 'chaparal', 'investment', 'investment', 'firm', 'company', 'found', 'serve', 'officer', 'group', 'inc.', 'investment', 'management', 'firm', 'serve', 'president', 'investment', 'officer', 'trust', 'company', 'west', 'subsidiary', 'member', 'allstate', 'corporation', 'year', 'group', 'parent', 'asset', 'management', 'chair', 'policy', 'member', 'bring', 'experience', 'investment', 'management', 'firm', 'investor', 'kroger', 'strategy', 'experience', 'qualifies', 'chair', 'policy', 'conceive', 'firm', 'risk', 'management', 'infrastructure', 'experience', 'risk', 'management', 'oversight', 'function', 'experience', 'program', 'make', 'value', 'member', 'ability', 'service', 'recognize', 'peer', 'select', 'part', 'program', 'time', 'david', 'dillon', 'dillon', 'elect', 'chairman', 'kroger', 'officer', 'president', 'chief', 'officer', 'serve', 'president', 'president', 'chief', 'officer', 'elect', 'vice', 'president', 'president', 'dillon', 'company', 'inc.', 'corporation', 'serve', 'year', 'dillon', 'bring', 'knowledge', 'supermarket', 'business', 'year', 'kroger', 'dillon', 'company', 'addition', 'depth', 'knowledge', 'kroger', 'industry', 'kroger', 'operate', 'wealth', 'experience', 'governance']"
