year,company,tokens_final
2010,Walmart,"['street', 'website', 'www.walmartstores.com', 'notice', 'hold', 'please', 'join', 'store', 'hold', 'june', 'time', 'arena', 'university', 'arkansas', 'purpose', 'nominee', 'name', 'statement', 'ratify', 'appointment', 'ernst', 'accountant', 'store', 'year', 'approval', 'store', 'incentive', 'describe', 'statement', 'approval', 'limit', 'propose', 'amend', 'describe', 'statement', 'proposal', 'describe', 'statement', 'transact', 'business', 'bring', 'notice', 'availability', 'material', 'year', 'take', 'advantage', 'rule', 'security', 'exchange', 'commission', 'allow', 'material', 'internet', 'result', 'availability', 'material', 'internet', 'paper', 'material', 'notice', 'availability', 'contain', 'instruction', 'access', 'material', 'internet', 'instruction', 'obtain', 'paper', 'copy', 'material', 'request', 'delivery', 'material', 'receive', 'instruction', 'e-mail', 'access', 'material', 'request', 'paper', 'copy', 'material', 'receive', 'paper', 'material', 'mail', 'distribution', 'process', 'contribute', 'sustainability', 'effort', 'reduce', 'cost', 'material', 'holder', 'record', 'store', 'business', 'april', 'attend', 'please', 'bring', 'admittance', 'slip', 'statement', 'proof', 'ownership', 'store', 'record', 'date', 'availability', 'receive', 'picture', 'identification', 'please', 'describe', 'page', 'statement', 'describe', 'statement', 'report', 'year', 'investor', 'section', 'website', 'www.walmartstores.com/annualmeeting', 'accordance', 'rule', 'security', 'exchange', 'commission', 'software', 'identifies', 'visitor', 'material', 'order', 'thomas', 'hyde', 'secretary', 'bentonville', 'april', 'admittance', 'requirement', 'cover']"
2010,Walmart,"['wal-mart', 'store', 'street', 'website', 'www.walmartstores.com', 'statement', 'april', 'begin', 'material', 'internet', 'notice', 'contain', 'instruction', 'access', 'material', 'internet', 'april', 'begin', 'material', 'request', 'paper', 'copy', 'material', 'date', 'deliver', 'material', 'request', 'method', 'delivery', 'material', 'relate', 'solicitation', 'wal-mart', 'store', 'delaware', 'corporation', 'hold', 'arena', 'campus', 'university', 'arkansas', 'arkansas', 'time', 'table', 'content', 'table', 'abbreviation', 'information', 'information', 'proposal', 'election', 'independence', 'compensation', 'governance', 'document', 'leadership', 'structure', 'role', 'risk', 'oversight', 'attendance', 'communication', 'nomination', 'process', 'candidate', 'audit', 'report', 'audit', 'expert', 'audit', 'policy', 'compensation', 'governance', 'compensation', 'report', 'compensation', 'interlock', 'insider', 'participation', 'transaction', 'review', 'policy', 'code', 'ethic', 'officer', 'submission', 'proposal', 'matter', 'compensation', 'compensation', 'discussion', 'analysis', 'risk', 'consideration', 'compensation', 'program', 'compensation', 'grant', 'award', 'equity', 'award', 'option', 'exercise', 'vest']"
2010,Walmart,"['nonqualified', 'compensation', 'potential', 'payment', 'termination', 'change', 'control', 'equity', 'compensation', 'information', 'ownership', 'holding', 'holding', 'officer', 'section', 'ownership', 'compliance', 'transaction', 'company', 'proposal', 'proposal', 'ratification', 'accountant', 'proposal', 'approval', 'incentive', 'proposal', 'approval', 'limit', 'amend', 'proposal', 'proposal', 'gender', 'identity', 'non-discrimination', 'policy', 'proposal', 'executive', 'compensation', 'proposal', 'contribution', 'report', 'proposal', 'shareowner', 'proposal', 'poultry', 'slaughter', 'proposal', 'lobbying', 'priority', 'report', 'store', 'incentive', 'appendix', 'rule', 'asda', 'sharesave', 'direction', 'admittance', 'slip', 'table', 'abbreviation', 'abbreviation', 'term', 'appear', 'statement', 'incentive', 'store', 'incentive', 'amend', 'store', 'incentive', 'hold', 'incentive', 'store', 'incentive', 'submit', 'approval', 'report', 'report', 'asda', 'limit', 'limit', 'propose', 'amend', 'approval', 'employee', 'subsidiary', 'audit', 'audit', 'audit', 'cngc', 'equity', 'compensation', 'spfc', 'broadridge', 'solution', 'representative', 'serve', 'inspector', 'election', 'bylaw', 'amend', 'restate', 'compensation', 'discussion', 'analysis', 'include', 'statement', 'executive', 'officer', 'company', 'officer', 'company', 'chairman', 'chairman', 'corporation', 'manager', 'limit', 'liability', 'company', 'body', 'entity', 'compensation', 'governance', 'defer', 'compensation', 'store', 'officer', 'defer', 'compensation', 'amend', 'january']"
2010,Walmart,"['compensation', 'store', 'compensation', 'amend', 'january', 'ernst', 'register', 'accounting', 'firm', 'equity', 'compensation', 'equity', 'compensation', 'call', 'option', 'exchange', 'security', 'exchange', 'amend', 'executive', 'executive', 'officer', 'officer', 'company', 'designate', 'executive', 'officer', 'define', 'exchange', 'disclosure', 'obligation', 'report', 'transaction', 'equity', 'security', 'company', 'section', 'year', 'gaap', 'accept', 'accounting', 'principle', 'effect', 'state', 'time', 'time', 'determine', 'relationship', 'company', 'standard', 'nyse', 'list', 'company', 'member', 'audit', 'meet', 'requirement', 'section', 'exchange', 'rule', 'exchange', 'revenue', 'code', 'revenue', 'code', 'amend', 'management', 'incentive', 'store', 'management', 'incentive', 'amend', 'february', 'name', 'executive', 'officer', 'president', 'executive', 'officer', 'year', 'member', 'employ', 'subsidiary', 'york', 'exchange', 'nyse', 'list', 'company', 'nyse', 'rule', 'company', 'security', 'list', 'listing', 'requirement', 'rule', 'policy', 'matter', 'governance', 'communication', 'approval', 'profit', 'sharing/', 'store', 'profit', 'amend', 'security', 'exchange', 'commission', 'section', 'section', 'exchange', 'store', 'executive', 'retirement', 'amend', 'value', 'finance', 'purchase', 'store', 'purchase', 'restate', 'amend', 'company', 'company', 'store', 'solicit', 'cost', 'reimburses', 'broker', 'others', 'statement', 'card', 'report', 'notice', 'availability', 'voting', 'information', 'holder', 'record', 'business', 'april', 'entitle', 'matter', 'present', 'time', 'hold', 'time', 'street', 'name', 'bank', 'broker', 'obtain', 'execute', 'favor', 'holder', 'record', 'business', 'april']"
2010,Walmart,"['election', 'nominee', 'name', 'statement', 'company', 'ratification', 'appointment', 'accountant', 'approval', 'incentive', 'describe', 'statement', 'approval', 'asda', 'limit', 'propose', 'amend', 'statement', 'proposal', 'describe', 'statement', 'matter', 'bring', 'count', 'broadridge', 'count', 'appoint', 'employee', 'broadridge', 'inspector', 'election', 'card', 'ballot', 'voting', 'record', 'disclose', 'require', 'request', 'disclosure', 'cast', 'election', 'comment', 'card', 'ballot', 'comment', 'provide', 'broadridge', 'remain', 'requirement', 'holder', 'majority', 'record', 'date', 'present', 'person', 'represent', 'hold', 'require', 'election', 'elect', 'nominee', 'receive', 'majority', 'cast', 'holder', 'person', 'represent', 'election', 'majority', 'election', 'elect', 'nominee', 'receive', 'plurality', 'holder', 'person', 'represent', 'election', 'bylaw', 'election', 'election', 'number', 'nominee', 'number', 'elect', 'contest', 'election', 'election', 'number', 'nominee', 'number', 'elect', 'happen', 'majority', 'election', 'majority', 'tender', 'offer', 'resignation', 'consideration', 'reelection', 'agree', 'resign', 'acceptance', 'resignation', 'receive', 'majority', 'accept', 'resignation', 'certification', 'accordance', 'procedure', 'establish', 'resignation', 'offer', 'accept', 'continue', 'serve', 'company', 'successor', 'duly', 'elect', 'death', 'resignation', 'removal', 'receive', 'majority', 'election', 'elect', 'vacancy', 'leave', 'nominee', 'name', 'statement', 'discretion', 'either', 'fill', 'vacancy', 'nominee', 'majority', 'bylaw', 'decrease', 'size', 'eliminate', 'vacancy', 'require', 'proposal', 'holder', 'majority', 'person', 'represent', 'require', 'ratification', 'appointment', 'accountant', 'approval', 'incentive', 'approval', 'amendment', 'limit', 'adoption', 'proposal', 'effect', 'abstain', 'proposal', 'respect', 'proposal', 'consider', 'respect', 'proposal', 'consider', 'respect', 'proposal', 'abstention', 'effect', 'election', 'proposal', 'require', 'holder', 'majority', 'entitle', 'proposal', 'order', 'abstention', 'effect', 'proposal']"
2010,Walmart,"['effect', 'broker', 'proposal', 'broker', 'occur', 'register', 'name', 'provide', 'record', 'holder', 'bank', 'broker', 'voting', 'instruction', 'matter', 'rule', 'broker', 'instruction', 'broker', 'provide', 'broker', 'consider', 'purpose', 'quorum', 'exists', 'consider', 'cast', 'entitle', 'respect', 'matter', 'rule', 'election', 'approval', 'incentive', 'describe', 'statement', 'approval', 'amendment', 'limit', 'describe', 'statement', 'proposal', 'describe', 'statement', 'matter', 'broker', 'instruction', 'provide', 'instruction', 'record', 'holder', 'respect', 'proposal', 'broker', 'result', 'respect', 'proposal', 'ratification', 'appointment', 'accountant', 'item', 'rule', 'result', 'broker', 'receive', 'instruction', 'matter', 'discretion', 'hold', 'record', 'bank', 'broker', 'urge', 'give', 'instruction', 'bank', 'broker', 'participate', 'voting', 'matter', 'process', 'voting', 'depend', 'hold', 'hold', 'record', 'holder', 'name', 'street', 'name', 'broker', 'bank', 'street', 'consider', 'owner', 'record', 'holder', 'person', 'record', 'holder', 'like', 'call', 'phone', 'toll', 'charge', 'apply', 'call', 'make', 'state', 'follow', 'instruction', 'provide', 'www.proxyvote.com', 'internet', 'follow', 'instruction', 'website', 'receive', 'card', 'mail', 'sign', 'date', 'mail', 'card', 'return', 'envelope', 'provide', 'note', 'telephone', 'internet', 'p.m.', 'time', 'june', 'telephone', 'internet', 'follow', 'instruction', 'card', 'receive', 'paper', 'copy', 'material', 'availability', 'material', 'attend', 'person', 'give', 'ballot', 'june', 'attend', 'hold', 'name', 'broker', 'bank', 'instruction', 'holder', 'hold', 'name', 'broker', 'bank', 'nominee', 'want', 'person', 'need', 'obtain', 'record', 'holder', 'record', 'holder', 'business', 'april', 'owner', 'business', 'april', 'number', 'owner', 'record', 'date', 'appointing', 'record', 'holder', 'cover', 'hold', 'profit', 'sharing/', 'puerto', 'rico', 'profit', 'provide', 'instruction', 'hold', 'p.m.', 'time', 'june', 'instruction', 'time', 'retirement', 'company', 'accordance', 'rule', 'specify', 'choice', 'matter', 'otherwise', 'person', 'name', 'card', 'nominee', 'name', 'statement', 'ratification', 'accountant', 'approval', 'incentive', 'describe', 'statement', 'approval', 'asda', 'limit', 'propose', 'amend', 'statement', 'proposal']"
2010,Walmart,"['revoke', 'revoke', 'record', 'holder', 'filing', 'write', 'revocation', 'secretary', 'address', 'cover', 'statement', 'signing', 'bearing', 'date', 'revoke', 'secretary', 'address', 'cover', 'statement', 'person', 'hold', 'street', 'name', 'broker', 'bank', 'contact', 'record', 'holder', 'revoke', 'receive', 'notice', 'availability', 'material', 'paper', 'copy', 'material', 'part', 'sustainability', 'initiatives', 'reduce', 'cost', 'material', 'year', 'advantage', 'rule', 'company', 'material', 'result', 'availability', 'material', 'paper', 'copy', 'material', 'notice', 'explain', 'access', 'material', 'internet', 'describe', 'request', 'paper', 'copy', 'material', 'mail', 'copy', 'receive', 'notice', 'availability', 'material', 'request', 'paper', 'copy', 'paper', 'copy', 'material', 'access', 'material', 'internet', 'access', 'statement', 'report', 'investor', 'section', 'website', 'join', 'sustainability', 'effort', 'instruct', 'deliver', 'material', 'e-mail', 'access', 'future', 'material', 'receive', 'instruction', 'link', 'material', 'link', 'voting', 'website', 'election', 'access', 'material', 'remain', 'effect', 'terminate', 'choose', 'delivery', 'investor', 'section', 'website', 'obtain', 'paper', 'copy', 'material', 'receive', 'notice', 'availability', 'material', 'find', 'instruction', 'obtain', 'paper', 'copy', 'material', 'report', 'notice', 'receive', 'notification', 'availability', 'material', 'find', 'instruction', 'obtain', 'paper', 'copy', 'material', 'report', 'part', 'notification', 'mail', 'paper', 'copy', 'material', 'report', 'send', 'availability', 'notification', 'availability', 'material', 'receive', 'notice', 'notification', 'internet', 'availability', 'material', 'paper', 'copy', 'material', 'receive', 'notice', 'availability', 'notification', 'paper', 'copy', 'material', 'card', 'example', 'brokerage', 'account', 'receive', 'notice', 'notification', 'voting', 'instruction', 'card', 'brokerage', 'account', 'record', 'register', 'name', 'receive', 'notice', 'notification', 'paper', 'material', 'card', 'name', 'complete', 'sign', 'date', 'return', 'card', 'receive', 'card', 'relate', 'telephone', 'internet', 'describe', 'hold', 'street', 'name', 'complete', 'sign', 'date', 'return', 'bank', 'broker', 'instruction', 'card', 'receive', 'broker', 'attend', 'business', 'april', 'entitle', 'admit', 'admittance', 'slip', 'write', 'ownership', 'describe', 'identification', 'driver', 'license', 'passport', 'entrance', 'facility', 'hold', 'register', 'name', 'receive', 'material', 'mail', 'admittance', 'slip', 'attach', 'statement', 'bring', 'register', 'name', 'receive', 'material', 'admit', 'verify', 'record', 'print', 'copy', 'admittance', 'slip', 'statement', 'access', 'statement', 'internet', 'bring', 'proof', 'ownership', 'availability', 'material', 'mail']"
2010,Walmart,"['owner', 'hold', 'street', 'name', 'describe', 'bank', 'broker', 'availability', 'material', 'receive', 'bank', 'brokerage', 'statement', 'business', 'april', 'camera', 'camcorder', 'equipment', 'device', 'package', 'permit', 'arena', 'photograph', 'take', 'claim', 'right', 'respect', 'photograph', 'information', 'elect', 'office', 'successor', 'elect', 'qualify', 'resignation', 'death', 'removal', 'nominee', 'election', 'reinemund', 'election', 'time', 'elect', 'nominee', 'name', 'statement', 'authority', 'bylaws', 'fill', 'vacancy', 'increase', 'occurrence', 'vacancy', 'size', 'establish', 'size', 'holder', 'nominees', 'instruct', 'serve', 'holder', 'nominee', 'propose', 'proposal', 'election', 'candidate', 'election', 'nominate', 'base', 'recommendation', 'cngc', 'information', 'forth', 'include', 'occupation', 'employment', 'year', 'year', 'become', 'directorship', 'hold', 'company', 'year', 'addition', 'information', 'present', 'experience', 'qualification', 'attribute', 'skill', 'lead', 'conclude', 'serve', 'believe', 'nominee', 'demonstrate', 'career', 'experience', 'wisdom', 'integrity', 'ability', 'make', 'inquiry', 'experience', 'business', 'environment', 'willingness', 'ability', 'devote', 'time', 'duty', 'forth', 'company', 'governance', 'guideline', 'commit', 'membership', 'nominee', 'discriminate', 'basis', 'race', 'color', 'origin', 'gender', 'religion', 'disability', 'orientation', 'aida', 'administrator', 'business', 'administration', 'member', 'president', 'clinton', 'cabinet', 'office', 'housing', 'enterprise', 'oversight', 'vice', 'president', 'finance', 'corporation', 'chair', 'latino', 'community', 'foundation', 'francisco', 'serve', 'corporation', 'union', 'bank', 'member', 'alvarez', 'qualification', 'serve', 'include', 'government', 'public', 'policy', 'gain', 'year', 'president', 'clinton', 'cabinet', 'executive', 'work', 'government', 'agency', 'benefit', 'investment', 'banking', 'finance', 'experience', 'james', 'partner', 'partner', 'venture', 'capital', 'firm', 'investor', 'consumer', 'internet', 'medium', 'technology', 'company', 'complete', 'offering', 'merger', 'serve', 'dell', 'serve', 'marvel', 'entertainment', 'realnetworks', 'june', 'serve', 'company', 'organization', 'member', 'breyer', 'qualification', 'serve', 'include', 'experience', 'expertise', 'technology', 'planning', 'addition', 'year', 'service', 'company', 'provide', 'diverse', 'expertise']"
2010,Walmart,"['michele', 'burn', 'burn', 'chairman', 'mercer', 'subsidiary', 'marsh', 'mclennan', 'company', 'join', 'marsh', 'mclennan', 'company', 'service', 'march', 'serve', 'vice', 'president', 'executive', 'vice', 'president', 'restructuring', 'officer', 'corporation', 'energy', 'company', 'serve', 'january', 'serve', 'vice', 'president', 'line', 'carrier', 'august', 'april', 'serve', 'cisco', 'system', 'burn', 'member', 'burn', 'qualification', 'serve', 'include', 'expertise', 'gain', 'service', 'company', 'variety', 'industry', 'benefit', 'burn', 'demonstrate', 'leadership', 'experience', 'consulting', 'service', 'organization', 'james', 'cash', 'cash', 'james', 'emeritus', 'professor', 'business', 'administration', 'harvard', 'business', 'school', 'serve', 'cash', 'serve', 'dean', 'chairman', 'faculty', 'harvard', 'business', 'school', 'serve', 'chairman', 'program', 'faculty', 'harvard', 'business', 'school', 'cash', 'research', 'focus', 'information', 'technology', 'service', 'sector', 'development', 'measurement', 'system', 'information', 'technology', 'organization', 'cash', 'publish', 'information', 'technology', 'journal', 'provide', 'management', 'development', 'consulting', 'service', 'cash', 'catalyst', 'cash', 'form', 'serve', 'chubb', 'corporation', 'company', 'cash', 'serve', 'phase', 'october', 'microsoft', 'corporation', 'november', 'cash', 'member', 'cash', 'qualification', 'serve', 'include', 'knowledge', 'information', 'technology', 'system', 'business', 'experience', 'addition', 'cash', 'diverse', 'finance', 'expertise', 'roger', 'corbett', 'corbett', 'retire', 'group', 'woolworth', 'limit', 'company', 'australia', 'reserve', 'bank', 'chairman', 'primeag', 'farming', 'enterprise', 'chairman', 'fairfax', 'medium', 'newspaper', 'publisher', 'serve', 'chairman', 'company', 'nomination', 'serve', 'chairman', 'company', 'audit', 'risk', 'member', 'minister', 'community', 'business', 'partnership', 'serve', 'outback', 'store', 'venture', 'government', 'australian', 'community', 'facility', 'member', 'council', 'graduate', 'school', 'management', 'university', 'wale', 'chairman', 'cies', 'food', 'business', 'forum', 'france', 'chairman', 'salvation', 'chairman', 'child', 'hospital', 'chairman', 'council', 'member', 'executive', 'school', 'member', 'group', 'faculty', 'medicine', 'university', 'sydney', 'member', 'corbett', 'qualification', 'serve', 'include', 'demonstrate', 'leadership', 'knowledge', 'issue', 'company', 'gain', 'company', 'forty', 'year', 'leadership', 'experience', 'industry', 'addition', 'provide', 'expertise', 'douglas', 'daft', 'retire', 'chairman', 'company', 'beverage', 'manufacturer', 'serve', 'capacity', 'february', 'capacity', 'daft', 'serve', 'mcgraw-hill', 'company', 'serve', 'hals', 'september', 'december', 'serve', 'mountain', 'coffee', 'roaster', 'december', 'member', 'company', 'compensation', 'endeavor', 'member', 'council', 'rothschild', 'member', 'longreach', 'tisbury', 'capital', 'thomas', 'partner', 'member', 'daft', 'qualification', 'serve', 'include', 'business', 'leadership', 'experience', 'gain', 'service', 'company', 'brand', 'management', 'expertise', 'governance', 'acumen', 'addition', 'year', 'service', 'company', 'provide', 'finance', 'expertise']"
2010,Walmart,"['michael', 'duke', 'president', 'serve', 'position', 'appointment', 'hold', 'position', 'company', 'vice', 'chairman', 'responsibility', 'vice', 'president', 'president', 'serve', 'consumer', 'good', 'forum', 'business', 'executive', 'conservation', 'center', 'leadership', 'business', 'serve', 'advisor', 'university', 'tsinghua', 'university', 'school', 'economics', 'management', 'china', 'member', 'qualification', 'serve', 'include', 'decade', 'industry', 'year', 'leadership', 'experience', 'division', 'company', 'experience', 'expertise', 'strategy', 'development', 'execution', 'gregory', 'penner', 'partner', 'madrone', 'capital', 'partner', 'investment', 'management', 'firm', 'vice', 'president', 'officer', 'japan', 'role', 'hold', 'position', 'vice', 'president', 'finance', 'strategy', 'partner', 'peninsula', 'capital', 'stage', 'venture', 'capital', 'fund', 'analyst', 'goldman', 'member', 'baidu', 'bill', 'corporation', 'cuil', 'hyatt', 'hotel', 'corporation', 'penner', 'member', 'penner', 'qualification', 'serve', 'include', 'finance', 'investment', 'expertise', 'business', 'leadership', 'experience', 'gain', 'year', 'service', 'investment', 'firm', 'service', 'company', 'penner', 'bring', 'finance', 'expertise', 'steven', 'reinemund', 'business', 'professor', 'leadership', 'strategy', 'wake', 'university', 'position', 'hold', 'july', 'faculty', 'wake', 'reinemund', 'distinguish', 'career', 'pepsico', 'serve', 'company', 'chairman', 'chairman', 'october', 'chairman', 'president', 'chief', 'officer', 'chairman', 'worldwide', 'operation', 'reinemund', 'serve', 'exxon', 'mobil', 'corporation', 'express', 'company', 'marriott', 'serve', 'johnson', 'johnson', 'reinemund', 'member', 'trustee', 'academy', 'foundation', 'cooper', 'institute', 'reinemund', 'qualification', 'serve', 'include', 'executive', 'experience', 'brand', 'management', 'expertise', 'gain', 'executive', 'position', 'hold', 'reinemund', 'provide', 'expertise', 'leadership', 'strategy', 'year', 'service', 'company', 'provide', 'finance', 'expertise', 'election', 'time', 'scott', 'president', 'retirement', 'position', 'scott', 'continue', 'serve', 'chairman', 'executive', 'president', 'hold', 'position', 'company', 'september', 'vice', 'chairman', 'chief', 'officer', 'executive', 'vice', 'president', 'president', 'serve', 'tsinghua', 'university', 'school', 'economics', 'management', 'china', 'member', 'qualifications', 'serve', 'include', 'year', 'leadership', 'experience', 'year', 'company', 'depth', 'knowledge', 'company', 'expertise', 'strategy', 'acumen']"
